company_url,metric,value
https://www.gpw.pl//spolka?isin=PLKPPD000017,Zysk/strata z działalności operacyjnej,"-4 416,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Przychody finansowe,"32,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Zysk/strata brutto,"-4 882,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,zysk/strata netto udziałowców jednostki dominującej,"-5 922,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Amortyzacja (noty),"4 679,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,AKTYWA,"185 526,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Aktywa trwałe,"103 687,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Aktywa obrotowe,"81 839,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Kapitał własny udziałowców podmiotu dominującego,"103 804,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Kapitał podstawowy,"5 094,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Zobowiązania długoterminowe,"9 729,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Zobowiązania krótkoterminowe,"71 993,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Przepływy operacyjne,"799,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Przepływy inwestycyjne,"411,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-8,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Przepływy finansowe,"-1 006,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Przepływy pieniężne netto,"204,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,EBITDA,"263,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Stopa zwrotu z kapitału własnego (ROE),"-0,33"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Stopa zwrotu z aktywów (ROA),"-0,20"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Wskaźnik płynności bieżącej,"1,14"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Wskaźnik płynności szybkiej,"0,56"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Wskaźnik obsługi zadłużenia,"-7,77"
https://www.gpw.pl//spolka?isin=PLPGER000010,Przychody ze sprzedaży,"17 167 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Zysk/strata ze sprzedaży,"3 177 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Pozostałe przychody operacyjne,"80 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Zysk/strata z działalności operacyjnej,"3 260 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Zysk/strata brutto,"3 012 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,zysk/strata netto udziałowców jednostki dominującej,"2 416 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Amortyzacja (noty),"1 050 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,AKTYWA,"104 710 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Aktywa trwałe,"77 233 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Aktywa obrotowe,"27 477 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Kapitał własny udziałowców podmiotu dominującego,"47 200 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Kapitał podstawowy,"19 184 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Zobowiązania długoterminowe,"23 607 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Zobowiązania krótkoterminowe,"32 789 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Przepływy operacyjne,"4 738 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Przepływy inwestycyjne,"-1 910 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-1 893 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Przepływy finansowe,"-1 576 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Przepływy pieniężne netto,"1 252 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,EBITDA,"4 310 000,00"
https://www.gpw.pl//spolka?isin=PLPGER000010,Stopa zwrotu z kapitału własnego (ROE),"-0,03"
https://www.gpw.pl//spolka?isin=PLPGER000010,Stopa zwrotu z aktywów (ROA),"-0,01"
https://www.gpw.pl//spolka?isin=PLPGER000010,Wskaźnik płynności bieżącej,"0,84"
https://www.gpw.pl//spolka?isin=PLPGER000010,Wskaźnik płynności szybkiej,"0,44"
https://www.gpw.pl//spolka?isin=PLPGER000010,Wskaźnik obsługi zadłużenia,"16,67"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Zysk/strata ze sprzedaży,"-833,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Pozostałe przychody operacyjne,"33,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Zysk/strata z działalności operacyjnej,"-800,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Przychody finansowe,"0,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Zysk/strata brutto,"-1 095,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,zysk/strata netto udziałowców jednostki dominującej,"-1 338,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Amortyzacja (noty),"54,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,AKTYWA,"2 328,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Aktywa trwałe,"274,00"
