company_url,shareholder,shares_count,shares_pct,votes_count,votes_pct
https://www.gpw.pl/spolka?isin=PLMNRTR00012,Monnari Trade Spółka Akcyjna,5 459 303,"17,86",5 459 303,"15,54"
https://www.gpw.pl/spolka?isin=PLMNRTR00012,FAIR Sp. z o.o.,2 533 000,"8,29",5 066 000,"14,42"
https://www.gpw.pl/spolka?isin=PLMOBRK00013,Modus Fundacja Rodzinna. Patronum Fundacja Rodzinna i Monto Group Fundacja Rodzinna,702 642,"20,00",1 405 284,"33,34"
https://www.gpw.pl/spolka?isin=PLMOBRK00013,Powszechne Towarzystwo Emerytalne Allianz Polska S.A.,266 905,"7,60",266 905,"6,33"
https://www.gpw.pl/spolka?isin=PLMOBRK00013,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,245 228,"6,98",245 228,"5,82"
https://www.gpw.pl/spolka?isin=PLMOBRK00013,Powszechne Towarzystwo Emerytalne PZU S.A.,211 289,"6,01",211 289,"5,01"
https://www.gpw.pl/spolka?isin=PLMOJ0000015,Porozumienie Fasing S.A.. Karbon 2 Sp. z o.o.. p. Zdzisław Bik. p. Anna Bik,7 136 967,"72,63",11 430 443,"80,95"
https://www.gpw.pl/spolka?isin=PLMRBUD00015,Jerzy Mirgos *,41 763 000,"37,93",41 763 000,"37,93"
https://www.gpw.pl/spolka?isin=PLMRBUD00015,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,12 025 773,"10,92",12 025 773,"10,92"
https://www.gpw.pl/spolka?isin=PLMRBUD00015,Towarzystwo Funduszy Inwestycyjnych PZU Spółka Akcyjna,5 589 481,"5,08",5 589 481,"5,08"
https://www.gpw.pl/spolka?isin=PLMRBUD00015,Powszechne Towarzystwo Emerytalne PZU S.A.,5 508 430,"5,00",5 508 430,"5,00"
https://www.gpw.pl/spolka?isin=PLMRCOR00016,PERMAG SP. Z O.O.,4 102 994,"26,78",4 102 994,"26,78"
https://www.gpw.pl/spolka?isin=PLMRCOR00016,Bangtino Limited,3 300 000,"21,54",3 300 000,"21,54"
https://www.gpw.pl/spolka?isin=PLMRCOR00016,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,1 454 465,"9,49",1 454 465,"9,49"
https://www.gpw.pl/spolka?isin=PLMRCOR00016,Powszechne Towarzystwo Emerytalne PZU S.A.,1 452 947,"9,48",1 452 947,"9,48"
https://www.gpw.pl/spolka?isin=PLMRCOR00016,N50 Cyprus Limited,1 376 379,"8,98",1 376 379,"8,98"
https://www.gpw.pl/spolka?isin=PLMRCOR00016,Powszechne Towarzystwo Emerytalne Allianz Polska S.A.,834 757,"5,45",834 757,"5,45"
https://www.gpw.pl/spolka?isin=PLMRCTR00015,Wiesław Żyznowski *,6 386 079,"65,36",9 218 908,"73,15"
https://www.gpw.pl/spolka?isin=PLMRVDV00011,Mariusz Wojciech Książek *,33 152 859,"79,59",33 152 859,"79,59"
https://www.gpw.pl/spolka?isin=PLMRVDV00011,Marvipol Development Spółka Akcyjna,633,"0,00",633,"0,00"
