company_url,last_day_with_right,operation_type,parameter
https://www.gpw.pl/spolka?isin=PLATAL000046,2024-06-25,Dywidenda,6.0000
https://www.gpw.pl/spolka?isin=PLATAL000046,2023-06-20,Dywidenda,5.0000
https://www.gpw.pl/spolka?isin=PLATAL000046,2022-06-21,Dywidenda,6.0000
https://www.gpw.pl/spolka?isin=PLATAL000046,2021-07-05,Dywidenda,3.0300
https://www.gpw.pl/spolka?isin=PLATAL000046,2019-06-24,Dywidenda,4.7000
https://www.gpw.pl/spolka?isin=PLATLPL00018,2025-02-05,Dywidenda,0.8500
https://www.gpw.pl/spolka?isin=PLATLPL00018,2024-08-08,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLATLPL00018,2024-01-18,Dywidenda,0.4900
https://www.gpw.pl/spolka?isin=PLATLPL00018,2023-03-24,Dywidenda,0.3800
https://www.gpw.pl/spolka?isin=PLATLPL00018,2022-03-07,Dywidenda,0.3800
https://www.gpw.pl/spolka?isin=PLATM0000021,2025-06-03,Dywidenda,0.1800
https://www.gpw.pl/spolka?isin=PLATM0000021,2024-05-28,Dywidenda,0.1800
https://www.gpw.pl/spolka?isin=PLATM0000021,2023-06-29,Dywidenda,0.1800
https://www.gpw.pl/spolka?isin=PLATM0000021,2022-06-01,Dywidenda,0.2000
https://www.gpw.pl/spolka?isin=PLATM0000021,2021-06-02,Dywidenda,0.1500
https://www.gpw.pl/spolka?isin=PLATMSI00016,2024-06-24,Dywidenda,0.1400
https://www.gpw.pl/spolka?isin=PLATMSI00016,2021-05-25,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLATMSI00016,2020-07-22,Dywidenda,0.2200
https://www.gpw.pl/spolka?isin=PLATMSI00016,2019-06-28,Dywidenda,0.2200
https://www.gpw.pl/spolka?isin=PLATMSI00016,2018-06-20,Dywidenda,0.2200
https://www.gpw.pl/spolka?isin=PLATPRT00018,2025-06-06,Dywidenda,0.1500
https://www.gpw.pl/spolka?isin=PLATPRT00018,2024-05-29,Dywidenda,0.1500
https://www.gpw.pl/spolka?isin=PLATPRT00018,2023-05-30,Dywidenda,0.1500
https://www.gpw.pl/spolka?isin=PLATPRT00018,2022-06-06,Dywidenda,0.1500
https://www.gpw.pl/spolka?isin=PLATPRT00018,2021-06-02,Dywidenda,0.1000
https://www.gpw.pl/spolka?isin=PLATREM00017,2024-09-06,Dywidenda,0.4900
https://www.gpw.pl/spolka?isin=PLATREM00017,2023-08-10,Dywidenda,0.1100
https://www.gpw.pl/spolka?isin=PLATREM00017,2022-09-09,Dywidenda,0.6600
https://www.gpw.pl/spolka?isin=PLATREM00017,2016-06-28,Dywidenda,0.0500
https://www.gpw.pl/spolka?isin=PLATREM00017,2015-06-26,Dywidenda,0.0800
https://www.gpw.pl/spolka?isin=PLATTFI00018,2018-06-14,Dywidenda,1.4900
https://www.gpw.pl/spolka?isin=PLATTFI00018,2017-07-10,Dywidenda,1.5000
https://www.gpw.pl/spolka?isin=PLBAUMA00017,2024-05-27,Dywidenda,2.3000
https://www.gpw.pl/spolka?isin=PLBAUMA00017,2023-05-23,Dywidenda,3.8100
https://www.gpw.pl/spolka?isin=PLBAUMA00017,2021-05-12,Dywidenda,7.6200
https://www.gpw.pl/spolka?isin=PLBAUMA00017,2020-05-14,Dywidenda,2.6000
https://www.gpw.pl/spolka?isin=PLBAUMA00017,2019-05-15,Dywidenda,5.7100
https://www.gpw.pl/spolka?isin=PLBEFSN00010,2011-08-09,Prawo poboru,1.00
https://www.gpw.pl/spolka?isin=PLBEFSN00010,2000-06-24,Dywidenda,0.0000
https://www.gpw.pl/spolka?isin=PLBEFSN00010,1999-05-26,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=PLBEST000010,2015-09-18,Podział (split),4.00
https://www.gpw.pl/spolka?isin=PLBEST000010,2000-06-27,Dywidenda,0.0000
https://www.gpw.pl/spolka?isin=PLBEST000010,1999-06-25,Dywidenda,0.0000
https://www.gpw.pl/spolka?isin=PLBEST000010,1998-05-13,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLBEST000010,1997-04-24,Dywidenda,3.6400
https://www.gpw.pl/spolka?isin=PLBGZ0000010,2025-04-16,Dywidenda,7.8600
https://www.gpw.pl/spolka?isin=PLBGZ0000010,2024-04-19,Dywidenda,3.4100
https://www.gpw.pl/spolka?isin=PLBH00000012,2024-06-25,Dywidenda,11.1500
https://www.gpw.pl/spolka?isin=PLBH00000012,2023-05-04,Dywidenda,9.0000
https://www.gpw.pl/spolka?isin=PLBH00000012,2022-06-29,Dywidenda,5.4700
https://www.gpw.pl/spolka?isin=PLBH00000012,2021-09-13,Dywidenda,1.2000
https://www.gpw.pl/spolka?isin=PLBH00000012,2019-06-11,Dywidenda,3.7400
https://www.gpw.pl/spolka?isin=PLBIG0000016,2014-05-02,Dywidenda,0.2200
https://www.gpw.pl/spolka?isin=PLBIG0000016,2011-05-11,Dywidenda,0.1000
https://www.gpw.pl/spolka?isin=PLBIG0000016,2010-01-14,Prawo poboru,7.00 : 3.00
https://www.gpw.pl/spolka?isin=PLBIG0000016,2008-04-30,Dywidenda,0.1900
https://www.gpw.pl/spolka?isin=PLBIG0000016,2007-05-04,Dywidenda,0.1700
https://www.gpw.pl/spolka?isin=PLBIOMX00015,2023-06-15,Dywidenda,0.5000
https://www.gpw.pl/spolka?isin=PLBIOMX00015,2022-06-20,Dywidenda,0.4500
https://www.gpw.pl/spolka?isin=PLBIOMX00015,2021-05-27,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=PLBIOMX00015,2017-08-29,Dywidenda,0.0500
https://www.gpw.pl/spolka?isin=PLBIOMX00015,2016-08-29,Dywidenda,0.2000
https://www.gpw.pl/spolka?isin=PLBIOPL00013,2022-08-04,Dywidenda,0.3600
https://www.gpw.pl/spolka?isin=PLBIOPL00013,2021-08-04,Dywidenda,0.7500
https://www.gpw.pl/spolka?isin=PLBIOPL00013,2020-09-08,Dywidenda,0.3300
https://www.gpw.pl/spolka?isin=PLBIOPL00013,2019-05-30,Dywidenda,0.0200
https://www.gpw.pl/spolka?isin=PLBIOTN00029,2006-06-27,Prawo poboru,1.00 : 1.80
https://www.gpw.pl/spolka?isin=PLBIOTN00029,2006-06-23,Podział (split),5.00
https://www.gpw.pl/spolka?isin=PLBLOBR00014,2021-03-17,Podział (split),10.00
https://www.gpw.pl/spolka?isin=PLBMBIT00010,2024-07-03,Dywidenda,0.3500
https://www.gpw.pl/spolka?isin=PLBMBIT00010,2023-06-26,Dywidenda,0.7700
https://www.gpw.pl/spolka?isin=PLBMBIT00010,2022-06-23,Dywidenda,0.5500
https://www.gpw.pl/spolka?isin=PLBMECH00012,2023-10-17,Dywidenda,2.0000
https://www.gpw.pl/spolka?isin=PLBMECH00012,2022-09-27,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLBNFTS00018,2024-09-12,Dywidenda,135.0000
https://www.gpw.pl/spolka?isin=PLBNFTS00018,2023-09-13,Dywidenda,41.0000
https://www.gpw.pl/spolka?isin=PLBNFTS00018,2015-07-22,Dywidenda,9.0000
https://www.gpw.pl/spolka?isin=PLBNFTS00018,2014-08-26,Dywidenda,8.0000
https://www.gpw.pl/spolka?isin=PLBNFTS00018,2013-07-15,Dywidenda,7.5000
https://www.gpw.pl/spolka?isin=PLBOS0000019,2008-07-14,Dywidenda,0.2300
https://www.gpw.pl/spolka?isin=PLBOS0000019,2007-07-09,Dywidenda,0.1300
